timecode	yday	degC	Pa	pressAltComp
1530573414	182	20.4	101309	1.8317628986901002
1530573914	182	20.4	101300	1.6652256894485218
1530574414	182	20.4	101297	1.9150325016538539
1530574914	182	20.4	101297	2.997597911793691
1530575414	182	20.5	101280	2.997597911793691
1530575914	182	20.6	101279	4.163563407919404
1530576414	183	20.7	101282	3.9137026725749635
1530576914	183	20.7	101273	4.4967203776475895
1530577414	183	20.8	101267	4.080275830259323
1530577914	183	20.7	101268	4.4967203776475895
1530578414	183	20.8	101268	4.580011284910661
1530578914	183	20.8	101263	5.996058609306372
1530579414	183	20.8	101266	4.580011284910661
1530579914	183	20.8	101261	5.079770713967406
1530580414	183	20.9	101253	6.245969296688387
1530580914	183	20.9	101250	5.996058609306372
1530581414	183	20.9	101259	6.662500433022559
1530581914	183	21.0	101255	6.329274191516541
1530582414	183	21.0	101261	5.5795541200084875
1530582914	183	21.0	101263	4.913181573636484
1530583414	183	21.0	101262	4.996475810792922
1530583914	183	21.0	101269	4.913181573636484
1530584414	183	21.1	101265	4.746595097313765
1530584914	183	21.1	101267	4.4967203776475895
1530585414	183	21.1	101275	3.9137026725749635
1530585914	183	21.0	101276	4.246851651479412
1530586414	183	21.0	101271	4.4967203776475895
1530586914	183	21.0	101272	4.663302858127798
1530587414	183	21.0	101275	4.080275830259323
1530587914	183	21.0	101275	4.4967203776475895
1530588414	183	21.0	101278	3.8304170925309977
1530588914	183	21.0	101284	3.663847929975513
1530589414	183	21.1	101277	3.9969889184794836
1530589914	183	21.1	101289	2.8310420647857892
1530590414	183	21.2	101284	3.330717594664585
1530590914	183	21.2	101301	2.0815737043115847
1530591414	183	21.3	101306	2.1648453040301696
1530591914	183	21.3	101306	1.5819580831411673
1530592414	183	21.2	101307	1.2488943130721608
1530592914	183	21.2	101313	0.6660583359733774
1530593414	183	21.1	101306	1.4986911423646188
1530593914	183	21.1	101317	0.49953975983734966
1530594414	183	21.1	101320	0.33302384519457884
1530594914	183	21.2	101321	0.49953975983734966
1530595414	183	21.1	101316	0.9158411906839836
1530595914	183	21.1	101308	1.9150325016538539
1530596414	183	21.0	101310	1.5819580831411673
1530596914	183	21.1	101305	1.4154248670991898
1530597414	183	21.1	101308	1.9983027701877865
1530597914	183	21.1	101305	1.7484939612965256
1530598414	183	21.0	101296	1.9983027701877865
1530598914	183	21.1	101301	2.497938359142756
1530599414	183	21.0	101285	3.4972814307195197
1530599914	183	21.0	101281	3.663847929975513
1530600414	183	21.0	101282	3.663847929975513
1530600914	183	21.0	101273	3.8304170925309977
1530601414	183	20.9	101285	3.247436675314752
1530601914	183	20.8	101292	2.914319655433287
1530602414	183	20.8	101294	2.664488880599981
1530602914	183	20.8	101297	2.664488880599981
1530603414	183	20.8	101303	2.0815737043115847
1530603914	183	20.8	101304	2.0815737043115847
1530604414	183	20.8	101290	2.331390500315682
1530604914	183	20.8	101291	2.581213287037063
1530605414	183	20.8	101300	1.9983027701877865
1530605914	183	20.8	101310	1.5819580831411673
1530606414	183	20.7	101301	1.8317628986901002
1530606914	183	20.7	101291	2.331390500315682
1530607414	183	20.8	101294	2.664488880599981
1530607914	183	20.8	101300	1.8317628986901002
1530608414	183	20.8	101303	2.1648453040301696
1530608914	183	20.8	101302	1.9150325016538539
1530609414	183	20.8	101308	1.5819580831411673
1530609914	183	20.8	101293	2.331390500315682
1530610414	183	20.8	101290	2.914319655433287
1530610914	183	20.8	101300	2.4146640969072175
1530611414	183	20.7	101290	2.664488880599981
1530611914	183	20.7	101291	2.8310420647857892
1530612414	183	20.7	101303	1.9983027701877865
1530612914	183	20.7	101287	2.581213287037063
1530613414	183	20.7	101305	2.0815737043115847
1530613914	183	20.6	101287	2.581213287037063
1530614414	183	20.6	101291	2.2481175693632283
1530614914	183	20.6	101281	3.5805643474393865
1530615414	183	20.5	101282	3.5805643474393865
1530615914	183	20.5	101283	3.663847929975513
1530616414	183	20.5	101285	3.8304170925309977
1530616914	183	20.5	101279	4.163563407919404
1530617414	183	20.4	101293	2.497938359142756
1530617914	183	20.4	101292	2.997597911793691
1530618414	183	20.4	101290	3.247436675314752
1530618914	183	20.3	101300	1.5819580831411673
1530619414	183	20.3	101312	1.5819580831411673
1530619914	183	20.2	101310	1.3321592573399588
1530620414	183	20.2	101296	1.4986911423646188
1530620914	183	20.2	101303	1.5819580831411673
1530621414	183	20.2	101302	1.9983027701877865
1530621914	183	20.2	101304	1.7484939612965256
1530622414	183	20.1	101306	1.9150325016538539
1530622914	183	20.1	101304	1.9983027701877865
1530623414	183	20.1	101310	1.2488943130721608
1530623914	183	20.0	101286	3.080876833891609
1530624414	183	20.0	101292	2.7477651398462752
1530624914	183	20.0	101279	2.7477651398462752
1530625414	183	20.0	101289	3.247436675314752
1530625914	183	20.0	101296	1.9150325016538539
1530626414	183	19.9	101288	2.914319655433287
1530626914	183	19.8	101297	2.7477651398462752
1530627414	183	19.8	101289	2.8310420647857892
1530627914	183	19.7	101283	3.7471321783328215
1530628414	183	19.7	101277	4.746595097313765
1530628914	183	19.7	101273	4.163563407919404
1530629414	183	19.6	101254	5.246362518414809
1530629914	183	19.6	101255	5.329659419707413
1530630414	183	19.6	101259	5.329659419707413
1530630914	183	19.5	101255	5.5795541200084875
1530631414	183	19.5	101232	7.328984896958782
1530631914	183	19.5	101239	6.745808659004013
1530632414	183	19.5	101249	6.0793615055931465
1530632914	183	19.4	101241	7.495612676189469
1530633414	183	19.4	101225	8.245470669544474
1530633914	183	19.4	101223	8.495435330197207
1530634414	183	19.4	101223	8.828730875678287
1530634914	183	19.4	101219	9.162037086169216
1530635414	183	19.4	101215	9.162037086169216
1530635914	183	19.4	101212	9.328694191032072
1530636414	183	19.4	101208	8.912056428429892
1530636914	183	19.4	101212	9.412023743410913
1530637414	183	19.4	101208	9.912015057666279
1530637914	183	19.4	101199	10.912069694305922
1530638414	183	19.4	101186	11.412133021838212
1530638914	183	19.4	101174	12.579040827778105
1530639414	183	19.4	101168	13.329264888649153
1530639914	183	19.4	101168	13.4126264535096
1530640414	183	19.5	101162	12.745752615746895
1530640914	183	19.5	101159	13.746079385268557
1530641414	183	19.5	101165	13.746079385268557
1530641914	183	19.5	101162	13.9128098546978
1530642414	183	19.5	101156	14.162910563556943
1530642914	183	19.5	101149	14.913248727053093
1530643414	183	19.5	101138	15.246749708038651
1530643914	183	19.5	101132	16.080548885894935
1530644414	183	19.5	101135	15.747021204207757
1530644914	183	19.5	101112	17.498160709123912
1530645414	183	19.6	101121	17.247979894572055
1530645914	183	19.6	101102	17.99854036926664
1530646414	183	19.6	101100	18.582347027977466
1530646914	183	19.6	101090	19.58323459258344
1530647414	183	19.6	101086	19.916885159066524
1530647914	183	19.7	101075	21.835583400792395
1530648414	183	19.7	101064	21.752154386472018
1530648914	183	19.7	101055	22.419605217630927
1530649414	183	19.7	101048	22.586474610284267
1530649914	183	19.7	101029	24.505664853402653
1530650414	183	19.8	101028	24.505664853402653
1530650914	183	19.8	101026	25.590581048102912
1530651414	183	19.9	101008	26.75907876989158
1530651914	183	19.9	101007	26.341743101184967
1530652414	183	19.9	100986	28.01118615197137
1530652914	183	19.9	100994	28.01118615197137
1530653414	183	19.9	100971	29.263444129454985
1530653914	183	19.9	100963	29.59740502917902
1530654414	183	20.0	100953	30.348856222859467
1530654914	183	20.0	100967	29.931376641549246
1530655414	183	20.1	100956	29.680896927931617
1530655914	183	20.1	100961	29.680896927931617
1530656414	183	20.1	100950	31.601395420108084
1530656914	183	20.1	100936	32.603535288256246
1530657414	183	20.1	100922	32.93760334909043
1530657914	183	20.2	100926	33.939871856686345
1530658414	183	20.3	100912	34.691636566871324
1530658914	183	20.3	100899	35.27637998743771
1530659414	183	20.4	100891	36.11178471252356
1530659914	183	20.4	100872	38.033470046373054
1530660414	183	20.5	100870	38.200589885642266
1530660914	183	20.5	100852	38.95266236727709
1530661414	183	20.6	100835	40.79129055709769
1530661914	183	20.7	100819	41.794315567432406
1530662414	184	20.9	100815	43.215433144940214
1530662914	184	21.0	100806	43.048232770325896
1530663414	184	21.0	100799	43.884261504401124
1530663914	184	21.1	100785	44.553132846124726
1530664414	184	21.2	100771	45.80738248397391
1530664914	184	21.3	100770	46.560004826603546
1530665414	184	21.4	100756	47.647222084163324
1530665914	184	21.4	100729	49.152787358283305
1530666414	184	21.5	100732	49.152787358283305
1530666914	184	21.6	100728	49.40373608134648
1530667414	184	21.7	100731	49.5710385920097
1530667914	184	21.7	100708	50.90955551368168
1530668414	184	21.7	100712	51.16054660444011
1530668914	184	21.8	100715	50.90955551368168
1530669414	184	21.8	100704	51.82988577719657
1530669914	184	21.9	100689	52.66662029090303
1530670414	184	21.9	100689	52.41559287224995
1530670914	184	22.0	100680	54.50767308680796
1530671414	184	22.1	100671	54.50767308680796
1530671914	184	22.2	100676	54.172911985854036
1530672414	184	22.2	100676	54.5913650448463
1530672914	184	22.3	100676	54.42398180190433
1530673414	184	22.3	100671	54.172911985854036
1530673914	184	22.3	100671	54.75875098036647
